month,day,sunrise,sunset,city
1,1,2020-01-01 07:45:36+01:00,2020-01-01 16:10:48+01:00,Vienna
1,2,2020-01-02 07:45:36+01:00,2020-01-02 16:12:00+01:00,Vienna
1,3,2020-01-03 07:45:36+01:00,2020-01-03 16:12:36+01:00,Vienna
1,4,2020-01-04 07:45:36+01:00,2020-01-04 16:13:48+01:00,Vienna
1,5,2020-01-05 07:45:00+01:00,2020-01-05 16:15:00+01:00,Vienna
1,6,2020-01-06 07:45:00+01:00,2020-01-06 16:16:12+01:00,Vienna
1,7,2020-01-07 07:45:00+01:00,2020-01-07 16:17:24+01:00,Vienna
1,8,2020-01-08 07:44:24+01:00,2020-01-08 16:18:36+01:00,Vienna
1,9,2020-01-09 07:43:48+01:00,2020-01-09 16:19:48+01:00,Vienna
1,10,2020-01-10 07:43:48+01:00,2020-01-10 16:21:00+01:00,Vienna
1,11,2020-01-11 07:43:12+01:00,2020-01-11 16:22:12+01:00,Vienna
1,12,2020-01-12 07:42:36+01:00,2020-01-12 16:23:24+01:00,Vienna
1,13,2020-01-13 07:42:00+01:00,2020-01-13 16:24:36+01:00,Vienna
1,14,2020-01-14 07:41:24+01:00,2020-01-14 16:25:48+01:00,Vienna
1,15,2020-01-15 07:40:48+01:00,2020-01-15 16:27:36+01:00,Vienna
1,16,2020-01-16 07:40:12+01:00,2020-01-16 16:28:48+01:00,Vienna
1,17,2020-01-17 07:39:36+01:00,2020-01-17 16:30:00+01:00,Vienna
1,18,2020-01-18 07:39:00+01:00,2020-01-18 16:31:48+01:00,Vienna
1,19,2020-01-19 07:37:48+01:00,2020-01-19 16:33:00+01:00,Vienna
1,20,2020-01-20 07:37:12+01:00,2020-01-20 16:34:48+01:00,Vienna
1,21,2020-01-21 07:36:00+01:00,2020-01-21 16:36:00+01:00,Vienna
1,22,2020-01-22 07:35:24+01:00,2020-01-22 16:37:48+01:00,Vienna
1,23,2020-01-23 07:34:12+01:00,2020-01-23 16:39:00+01:00,Vienna
1,24,2020-01-24 07:33:00+01:00,2020-01-24 16:40:48+01:00,Vienna
1,25,2020-01-25 07:32:24+01:00,2020-01-25 16:42:00+01:00,Vienna
1,26,2020-01-26 07:31:12+01:00,2020-01-26 16:43:48+01:00,Vienna
1,27,2020-01-27 07:30:00+01:00,2020-01-27 16:45:36+01:00,Vienna
1,28,2020-01-28 07:28:48+01:00,2020-01-28 16:46:48+01:00,Vienna
1,29,2020-01-29 07:27:36+01:00,2020-01-29 16:48:36+01:00,Vienna
1,30,2020-01-30 07:26:24+01:00,2020-01-30 16:49:48+01:00,Vienna
1,31,2020-01-31 07:25:12+01:00,2020-01-31 16:51:36+01:00,Vienna
2,1,2020-02-01 07:24:00+01:00,2020-02-01 16:53:24+01:00,Vienna
2,2,2020-02-02 07:22:12+01:00,2020-02-02 16:54:36+01:00,Vienna
2,3,2020-02-03 07:21:00+01:00,2020-02-03 16:56:24+01:00,Vienna
2,4,2020-02-04 07:19:48+01:00,2020-02-04 16:58:12+01:00,Vienna
2,5,2020-02-05 07:18:00+01:00,2020-02-05 16:59:24+01:00,Vienna
2,6,2020-02-06 07:16:48+01:00,2020-02-06 17:01:12+01:00,Vienna
2,7,2020-02-07 07:15:36+01:00,2020-02-07 17:03:00+01:00,Vienna
2,8,2020-02-08 07:13:48+01:00,2020-02-08 17:04:48+01:00,Vienna
2,9,2020-02-09 07:12:00+01:00,2020-02-09 17:06:00+01:00,Vienna
2,10,2020-02-10 07:10:48+01:00,2020-02-10 17:07:48+01:00,Vienna
2,11,2020-02-11 07:09:00+01:00,2020-02-11 17:09:36+01:00,Vienna
2,12,2020-02-12 07:07:12+01:00,2020-02-12 17:10:48+01:00,Vienna
2,13,2020-02-13 07:06:00+01:00,2020-02-13 17:12:36+01:00,Vienna
2,14,2020-02-14 07:04:12+01:00,2020-02-14 17:14:24+01:00,Vienna
2,15,2020-02-15 07:02:24+01:00,2020-02-15 17:15:36+01:00,Vienna
2,16,2020-02-16 07:00:36+01:00,2020-02-16 17:17:24+01:00,Vienna
2,17,2020-02-17 06:58:48+01:00,2020-02-17 17:19:12+01:00,Vienna
2,18,2020-02-18 06:57:36+01:00,2020-02-18 17:20:24+01:00,Vienna
2,19,2020-02-19 06:55:48+01:00,2020-02-19 17:22:12+01:00,Vienna
2,20,2020-02-20 06:54:00+01:00,2020-02-20 17:24:00+01:00,Vienna
2,21,2020-02-21 06:52:12+01:00,2020-02-21 17:25:12+01:00,Vienna
2,22,2020-02-22 06:50:24+01:00,2020-02-22 17:27:00+01:00,Vienna
2,23,2020-02-23 06:48:36+01:00,2020-02-23 17:28:48+01:00,Vienna
2,24,2020-02-24 06:46:12+01:00,2020-02-24 17:30:00+01:00,Vienna
2,25,2020-02-25 06:44:24+01:00,2020-02-25 17:31:48+01:00,Vienna
2,26,2020-02-26 06:42:36+01:00,2020-02-26 17:33:00+01:00,Vienna
2,27,2020-02-27 06:40:48+01:00,2020-02-27 17:34:48+01:00,Vienna
2,28,2020-02-28 06:39:00+01:00,2020-02-28 17:36:36+01:00,Vienna
2,29,2020-02-29 06:37:12+01:00,2020-02-29 17:37:48+01:00,Vienna
3,1,2020-03-01 06:34:48+01:00,2020-03-01 17:39:36+01:00,Vienna
3,2,2020-03-02 06:33:00+01:00,2020-03-02 17:40:48+01:00,Vienna
3,3,2020-03-03 06:31:12+01:00,2020-03-03 17:42:36+01:00,Vienna
3,4,2020-03-04 06:29:24+01:00,2020-03-04 17:43:48+01:00,Vienna
3,5,2020-03-05 06:27:00+01:00,2020-03-05 17:45:36+01:00,Vienna
3,6,2020-03-06 06:25:12+01:00,2020-03-06 17:46:48+01:00,Vienna
3,7,2020-03-07 06:23:24+01:00,2020-03-07 17:48:36+01:00,Vienna
3,8,2020-03-08 06:21:00+01:00,2020-03-08 17:49:48+01:00,Vienna
3,9,2020-03-09 06:19:12+01:00,2020-03-09 17:51:36+01:00,Vienna
3,10,2020-03-10 06:17:24+01:00,2020-03-10 17:52:48+01:00,Vienna
3,11,2020-03-11 06:15:00+01:00,2020-03-11 17:54:36+01:00,Vienna
3,12,2020-03-12 06:13:12+01:00,2020-03-12 17:55:48+01:00,Vienna
3,13,2020-03-13 06:10:48+01:00,2020-03-13 17:57:36+01:00,Vienna
3,14,2020-03-14 06:09:00+01:00,2020-03-14 17:58:48+01:00,Vienna
3,15,2020-03-15 06:07:12+01:00,2020-03-15 18:00:36+01:00,Vienna
3,16,2020-03-16 06:04:48+01:00,2020-03-16 18:01:48+01:00,Vienna
3,17,2020-03-17 06:03:00+01:00,2020-03-17 18:03:36+01:00,Vienna
3,18,2020-03-18 06:00:36+01:00,2020-03-18 18:04:48+01:00,Vienna
3,19,2020-03-19 05:58:48+01:00,2020-03-19 18:06:36+01:00,Vienna
3,20,2020-03-20 05:56:24+01:00,2020-03-19 18:07:48+01:00,Vienna
3,21,2020-03-21 05:54:36+01:00,2020-03-20 18:09:36+01:00,Vienna
3,22,2020-03-22 05:52:48+01:00,2020-03-21 18:10:48+01:00,Vienna
3,23,2020-03-23 05:50:24+01:00,2020-03-22 18:12:36+01:00,Vienna
3,24,2020-03-24 05:48:36+01:00,2020-03-23 18:13:48+01:00,Vienna
3,25,2020-03-25 05:46:12+01:00,2020-03-24 18:15:00+01:00,Vienna
3,26,2020-03-26 05:44:24+01:00,2020-03-25 18:16:48+01:00,Vienna
3,27,2020-03-27 05:42:00+01:00,2020-03-26 18:18:00+01:00,Vienna
3,28,2020-03-28 05:40:12+01:00,2020-03-27 18:19:48+01:00,Vienna
3,29,2020-03-29 05:37:48+02:00,2020-03-28 18:21:00+01:00,Vienna
3,30,2020-03-30 06:36:00+02:00,2020-03-29 19:22:48+02:00,Vienna
3,31,2020-03-31 06:34:12+02:00,2020-03-30 19:24:00+02:00,Vienna
4,1,2020-04-01 06:31:48+02:00,2020-03-31 19:25:12+02:00,Vienna
4,2,2020-04-02 06:30:00+02:00,2020-04-01 19:27:00+02:00,Vienna
4,3,2020-04-03 06:27:36+02:00,2020-04-02 19:28:12+02:00,Vienna
4,4,2020-04-04 06:25:48+02:00,2020-04-03 19:30:00+02:00,Vienna
4,5,2020-04-05 06:24:00+02:00,2020-04-04 19:31:12+02:00,Vienna
4,6,2020-04-06 06:21:36+02:00,2020-04-05 19:33:00+02:00,Vienna
4,7,2020-04-07 06:19:48+02:00,2020-04-06 19:34:12+02:00,Vienna
4,8,2020-04-08 06:18:00+02:00,2020-04-07 19:35:24+02:00,Vienna
4,9,2020-04-09 06:15:36+02:00,2020-04-08 19:37:12+02:00,Vienna
4,10,2020-04-10 06:13:48+02:00,2020-04-09 19:38:24+02:00,Vienna
4,11,2020-04-11 06:12:00+02:00,2020-04-10 19:40:12+02:00,Vienna
4,12,2020-04-12 06:09:36+02:00,2020-04-11 19:41:24+02:00,Vienna
4,13,2020-04-13 06:07:48+02:00,2020-04-12 19:42:36+02:00,Vienna
4,14,2020-04-14 06:06:00+02:00,2020-04-13 19:44:24+02:00,Vienna
4,15,2020-04-15 06:04:12+02:00,2020-04-14 19:45:36+02:00,Vienna
4,16,2020-04-16 06:01:48+02:00,2020-04-15 19:47:24+02:00,Vienna
4,17,2020-04-17 06:00:00+02:00,2020-04-16 19:48:36+02:00,Vienna
4,18,2020-04-18 05:58:12+02:00,2020-04-17 19:49:48+02:00,Vienna
4,19,2020-04-19 05:56:24+02:00,2020-04-18 19:51:36+02:00,Vienna
4,20,2020-04-20 05:54:36+02:00,2020-04-19 19:52:48+02:00,Vienna
4,21,2020-04-21 05:52:48+02:00,2020-04-20 19:54:36+02:00,Vienna
4,22,2020-04-22 05:51:00+02:00,2020-04-21 19:55:48+02:00,Vienna
4,23,2020-04-23 05:49:12+02:00,2020-04-22 19:57:00+02:00,Vienna
4,24,2020-04-24 05:47:24+02:00,2020-04-23 19:58:48+02:00,Vienna
4,25,2020-04-25 05:45:36+02:00,2020-04-24 20:00:00+02:00,Vienna
4,26,2020-04-26 05:43:48+02:00,2020-04-25 20:01:48+02:00,Vienna
4,27,2020-04-27 05:42:00+02:00,2020-04-26 20:03:00+02:00,Vienna
4,28,2020-04-28 05:40:12+02:00,2020-04-27 20:04:12+02:00,Vienna
4,29,2020-04-29 05:38:24+02:00,2020-04-28 20:06:00+02:00,Vienna
4,30,2020-04-30 05:36:36+02:00,2020-04-29 20:07:12+02:00,Vienna
5,1,2020-05-01 05:35:24+02:00,2020-04-30 20:09:00+02:00,Vienna
5,2,2020-05-02 05:33:36+02:00,2020-05-01 20:10:12+02:00,Vienna
5,3,2020-05-03 05:31:48+02:00,2020-05-02 20:11:24+02:00,Vienna
5,4,2020-05-04 05:30:36+02:00,2020-05-03 20:13:12+02:00,Vienna
5,5,2020-05-05 05:28:48+02:00,2020-05-04 20:14:24+02:00,Vienna
5,6,2020-05-06 05:27:00+02:00,2020-05-05 20:15:36+02:00,Vienna
5,7,2020-05-07 05:25:48+02:00,2020-05-06 20:17:24+02:00,Vienna
5,8,2020-05-08 05:24:00+02:00,2020-05-07 20:18:36+02:00,Vienna
5,9,2020-05-09 05:22:48+02:00,2020-05-08 20:19:48+02:00,Vienna
5,10,2020-05-10 05:21:36+02:00,2020-05-09 20:21:00+02:00,Vienna
5,11,2020-05-11 05:19:48+02:00,2020-05-10 20:22:48+02:00,Vienna
5,12,2020-05-12 05:18:36+02:00,2020-05-11 20:24:00+02:00,Vienna
5,13,2020-05-13 05:17:24+02:00,2020-05-12 20:25:12+02:00,Vienna
5,14,2020-05-14 05:15:36+02:00,2020-05-13 20:26:24+02:00,Vienna
5,15,2020-05-15 05:14:24+02:00,2020-05-14 20:27:36+02:00,Vienna
5,16,2020-05-16 05:13:12+02:00,2020-05-15 20:28:48+02:00,Vienna
5,17,2020-05-17 05:12:00+02:00,2020-05-16 20:30:36+02:00,Vienna
5,18,2020-05-18 05:10:48+02:00,2020-05-17 20:31:48+02:00,Vienna
5,19,2020-05-19 05:09:36+02:00,2020-05-18 20:33:00+02:00,Vienna
5,20,2020-05-20 05:08:24+02:00,2020-05-19 20:34:12+02:00,Vienna
5,21,2020-05-21 05:07:48+02:00,2020-05-20 20:35:24+02:00,Vienna
5,22,2020-05-22 05:06:36+02:00,2020-05-21 20:36:36+02:00,Vienna
5,23,2020-05-23 05:05:24+02:00,2020-05-22 20:37:48+02:00,Vienna
5,24,2020-05-24 05:04:48+02:00,2020-05-23 20:39:00+02:00,Vienna
5,25,2020-05-25 05:03:36+02:00,2020-05-24 20:39:36+02:00,Vienna
5,26,2020-05-26 05:03:00+02:00,2020-05-25 20:40:48+02:00,Vienna
5,27,2020-05-27 05:01:48+02:00,2020-05-26 20:42:00+02:00,Vienna
5,28,2020-05-28 05:01:12+02:00,2020-05-27 20:43:12+02:00,Vienna
